Latitude,Longitude,Name
-35.282,149.129,Canberra
-33.8651,151.21,Sydney
-27.4701,153.021,Brisbane
-12.4628,130.842,Darwin
-31.9535,115.857,Perth
-34.9212,138.6,Adelaide
-37.8409,144.946,Melbourne
-42.8806,147.325,Hobart
-35.282,149.129,Canberra
